Air Carrier Operations,General Aviation: Local Operations,General Aviation: Total Operations
10329.0,4.0,2219.0
10593.0,28.0,3312.0
11320.0,56.0,3310.0
11936.0,0.0,3382.0
11726.0,256.0,4242.0
12732.0,30.0,4237.0
11829.0,48.0,3929.0
12579.0,0.0,3413.0
12884.0,120.0,3166.0
12509.0,74.0,3165.0
12360.0,38.0,3345.0
11520.0,56.0,3983.0
11718.0,98.0,3801.0
9888.0,56.0,3193.0
10469.0,66.0,3741.0
10890.0,6.0,3496.0
11048.0,42.0,4267.0
11776.0,94.0,4321.0
11128.0,34.0,3500.0
12074.0,222.0,4384.0
12335.0,166.0,4030.0
12050.0,68.0,4093.0
11847.0,144.0,4525.0
11295.0,124.0,4345.0
10949.0,264.0,4616.0
9133.0,104.0,3192.0
9847.0,61.0,3718.0
10608.0,124.0,3480.0
10335.0,94.0,4062.0
10733.0,160.0,4797.0
9870.0,112.0,4310.0
10703.0,272.0,3853.0
11144.0,364.0,4153.0
10950.0,316.0,4351.0
10826.0,203.0,4379.0
10079.0,188.0,4508.0
10329.0,206.0,4783.0
8542.0,184.0,4222.0
9322.0,134.0,4340.0
9540.0,150.0,3579.0
9325.0,322.0,4868.0
9612.0,278.0,5363.0
8904.0,204.0,4674.0
9223.0,168.0,3652.0
9935.0,216.0,3976.0
10033.0,278.0,4449.0
9880.0,160.0,4292.0
9486.0,96.0,4098.0
9979.0,264.0,4488.0
8525.0,358.0,4478.0
8985.0,222.0,4012.0
9850.0,274.0,3979.0
9645.0,168.0,3689.0
9705.0,500.0,5444.0
9196.0,396.0,4889.0
10138.0,444.0,4489.0
10551.0,404.0,4605.0
10035.0,448.0,4499.0
9893.0,324.0,4079.0
9349.0,527.0,4763.0
9373.0,204.0,4681.0
7685.0,4.0,3640.0
8648.0,178.0,4260.0
9192.0,196.0,3924.0
8691.0,174.0,4905.0
9328.0,382.0,5667.0
8641.0,368.0,4742.0
9071.0,258.0,4574.0
9507.0,468.0,4334.0
9225.0,288.0,4175.0
8983.0,170.0,4490.0
8571.0,116.0,4581.0
8962.0,0.0,4260.0
7840.0,66.0,3763.0
8543.0,144.0,3503.0
8437.0,142.0,4549.0
8754.0,130.0,4464.0
8167.0,206.0,4369.0
8936.0,226.0,4269.0
9053.0,270.0,3920.0
8735.0,304.0,4190.0
8934.0,114.0,4189.0
8306.0,165.0,4598.0
8816.0,226.0,4935.0
7977.0,197.0,3826.0
8315.0,174.0,3796.0
8182.0,76.0,5052.0
8342.0,188.0,4916.0
7980.0,172.0,4110.0
8557.0,108.0,4167.0
8597.0,216.0,3833.0
8362.0,282.0,4509.0
8295.0,144.0,4641.0
8072.0,134.0,4694.0
8317.0,208.0,4282.0
7615.0,124.0,3904.0
7921.0,208.0,3536.0
7718.0,196.0,4428.0
8028.0,208.0,4762.0
7719.0,136.0,4566.0
8260.0,235.0,4510.0
8216.0,378.0,4438.0
8087.0,236.0,4857.0
8145.0,360.0,5335.0
7948.0,273.0,5468.0
8327.0,344.0,5641.0
7795.0,297.0,4697.0
7967.0,276.0,4839.0
7678.0,276.0,5212.0
7897.0,180.0,5901.0
7762.0,406.0,4934.0
8234.0,293.0,5084.0
8307.0,204.0,4210.0
7976.0,227.0,4503.0
7806.0,282.0,5135.0
7591.0,238.0,4902.0
7767.0,440.0,5548.0
